sweep_param,sweep_value,sigma_visible,odom_noise,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes,viable
baseline,,0.010000000000000004,0.0010000000000000002,0.12429522565094535,0.7785293770568293,-2.105331854778172,0.638135593220339,0.902542372881356,0.09652203389830505,0.42320546619594096,0.8,25.875,0.0,20.0,True
baseline,,0.010000000000000004,0.001411698658795815,0.12429522511980386,0.7768634516085549,-2.1946402513434453,0.649746192893401,0.9137055837563451,0.07374822335025388,0.425180797255598,0.8,25.9375,0.0,20.0,True
baseline,,0.010000000000000004,0.0019928931032459026,0.12429522645968069,0.7769180617800732,-2.2777031087741206,0.6666666666666666,0.9272419627749577,0.04329137055837562,0.44451003763824704,0.8,25.9375,0.0,20.0,True
baseline,,0.010000000000000004,0.00281336452097567,0.12415995262774933,0.7751255755327935,-2.350400870103074,0.6804384485666105,0.9367622259696459,0.01999932546374361,0.45024639926850796,0.8,26.0625,0.0,20.0,True
baseline,,0.010000000000000004,0.00397162292096508,0.12411520153582696,0.7739243542778513,-2.403161459296656,0.7072147651006712,0.9488255033557047,0.0301892617449665,0.4455987839028239,0.75,25.4,0.0,20.0,True
baseline,,0.010000000000000004,0.00560673475076912,0.12411520299378861,0.7698994890068503,-2.4301365333404368,0.7207357859531772,0.9581939799331104,0.04172976588628763,0.4659818772226572,0.75,25.533333333333335,0.0,20.0,True
baseline,,0.010000000000000004,0.007915019927884653,0.12370483430091148,0.7625800497486187,-2.4337635860037805,0.7446102819237148,0.9618573797678275,0.0692676616915423,0.4716857818886638,0.75,25.866666666666667,0.0,20.0,True
baseline,,0.010000000000000004,0.011173623016536903,0.12349554507882791,0.7583137387762457,-2.4111891984538056,0.7714521452145214,0.9661716171617162,0.10042376237623762,0.5058859378099442,0.75,26.066666666666666,0.0,20.0,True
baseline,,0.010000000000000004,0.015773788626335192,0.1236532144799391,0.753297443181302,-2.3559972244552743,0.7975409836065573,0.9688524590163935,0.12919344262295085,0.5392526611685753,0.7,25.428571428571427,0.0,20.0,True
baseline,,0.010000000000000004,0.02226783624792608,0.12365321180245469,0.7509632740426353,-2.273229192513137,0.8202614379084967,0.9738562091503268,0.1569176470588235,0.6185886397957802,0.65,24.53846153846154,0.0,20.0,False
baseline,,0.010000000000000004,0.03143547456548206,0.12350443040848606,0.7381816508333153,-2.1826867499629907,0.8386837881219904,0.9751203852327448,0.17660417335473522,0.6419455945491791,0.65,25.384615384615383,0.0,20.0,False
baseline,,0.010000000000000004,0.044377417282700976,0.12330706712033632,0.7317270915852532,-2.075945603367416,0.8444444444444444,0.9753968253968254,0.18264126984126983,0.7312831804156303,0.65,25.923076923076923,0.0,20.0,False
baseline,,0.010000000000000004,0.06264754045881119,0.12339726539257463,0.7167567882038255,-1.9442218335322672,0.8489096573208723,0.9766355140186916,0.18834517133956397,0.7863889962434769,0.55,24.636363636363637,0.0,20.0,False
baseline,,0.010000000000000004,0.08843944884256029,0.12303863913724045,0.706901610697098,-1.8119591730319267,0.8545176110260337,0.9785604900459418,0.19587810107197556,0.8985880047082901,0.55,25.636363636363637,0.0,20.0,False
baseline,,0.010000000000000004,0.12484985131568332,0.12287006907521619,0.7001503188120556,-1.663120434043391,0.859304084720121,0.9788199697428139,0.20092405446293493,1.0375406309962272,0.5,25.1,0.0,20.0,False
baseline,,0.010000000000000004,0.17625036765320706,0.12251642612729924,0.6870005264071254,-1.5035990121808904,0.8610698365527489,0.9791976225854383,0.20306745913818725,1.1415827989578247,0.5,26.3,0.0,20.0,False
baseline,,0.010000000000000004,0.24881240762830165,0.1222490390407858,0.6799354938899937,-1.3302877885877877,0.8632352941176471,0.9794117647058823,0.20544705882352943,1.2566531911492347,0.5,27.0,0.0,20.0,False
baseline,,0.010000000000000004,0.351248142140631,0.12194819662716351,0.6698572972652915,-1.1697935127369274,0.8643578643578643,0.9797979797979798,0.20695584415584412,1.2873446732759475,0.45,27.11111111111111,0.0,20.0,False
baseline,,0.010000000000000004,0.4958565311644505,0.1218881452214691,0.6699004863549604,-1.0084035415938613,0.8649425287356322,0.9798850574712644,0.20762758620689659,1.3625023782253265,0.45,27.444444444444443,0.0,20.0,False
baseline,,0.010000000000000004,0.7,0.12188814471686968,0.670549975929586,-0.8417735623195518,0.8649425287356322,0.9798850574712644,0.20762758620689659,1.4164843276143073,0.45,27.444444444444443,0.0,20.0,False
baseline,,0.014270914972418185,0.0010000000000000002,0.12451089385101494,0.7750384276375174,-2.2279000515546623,0.6913996627318718,0.9359190556492412,0.027280607082630692,0.4577666962519288,0.8,26.0625,0.0,20.0,True
baseline,,0.014270914972418185,0.001411698658795815,0.12437534389889429,0.7750753324727877,-2.2801748413070184,0.696969696969697,0.9452861952861953,0.023483501683501773,0.46210079081356525,0.8,26.125,0.0,20.0,True
baseline,,0.014270914972418185,0.0019928931032459026,0.12432926764581412,0.7715130836150654,-2.3321347170215936,0.7123745819397993,0.9540133779264214,0.030161204013377962,0.4424247156828642,0.8,26.375,0.0,20.0,True
baseline,,0.014270914972418185,0.00281336452097567,0.12432926684346636,0.7703021918000211,-2.369107931495111,0.7312186978297162,0.9607679465776294,0.0547866444073456,0.4498546475544572,0.75,25.6,0.0,20.0,True
