sigma_init,sigma_visible,odom_noise,decay_factor,large_uncertainty,success_radius,sigma_ale_threshold,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes,calibration_score,task_score,combined_score
4.2603388920012355,0.04242355063279966,0.018688552360099586,0.9181909161210206,2486.293650589535,0.31637883054922544,0.8723696398214406,0.21578624201613628,0.8081662122635321,-1.143288657273864,0.7178387650085764,0.9245283018867925,0.06511046312178392,0.598249039798975,0.75,24.533333333333335,0.06666666666666667,20.0,1.5718464993899335,0.14185527435404663,0.8568508868719901
0.12619083378829712,0.044352455840107094,0.009748168020621348,0.8972810598198594,4486.365458211075,0.8205529504814627,0.6868289891665958,0.21317715106063231,0.8591658424293092,-0.9536311707447201,0.6857976653696498,0.8998054474708171,0.05779221789883271,0.9498060330748558,0.9,23.11111111111111,0.05555555555555555,20.0,1.2606081694016376,0.3358173878802586,0.7982127786409481
0.2752980777561244,0.025739481195359074,0.11055716548563957,0.8449480162550476,88.73182540943127,0.4306646056060621,1.2136338231441923,0.216408329432629,0.835746307845657,-0.9850549301139448,0.7926634768740032,0.94896331738437,0.11550015948963321,1.0608507011085748,0.6,24.583333333333332,0.0,20.0,0.9653442597144561,0.4683306085054952,0.7168374341099757
1.1061186579228908,0.011173568723641062,0.0451800045944807,0.8031823541751909,1640.106346134353,0.6102069786096624,1.8652980195143116,0.2166969527284331,0.8350028809598732,-0.6537555697767622,0.6606170598911071,0.8711433756805808,0.10543956442831215,0.7920406151562929,0.85,24.352941176470587,0.0,20.0,0.4049462063368429,0.7852421755966595,0.5950941909667512
4.658983598928057,0.09349405273669607,0.001034539390492974,0.9537571910438524,4523.779539736956,0.6718960226567604,0.7073951089370635,0.21845236438445087,0.8392418279208661,-0.7358854356988785,0.7313974591651543,0.911978221415608,0.09121923774954632,0.7765539474785328,0.9,25.166666666666668,0.05555555555555555,20.0,0.646481676545791,0.3666343535168899,0.5065580150313405
3.5155475874212843,0.011835029692621676,0.07817570893397446,0.8826614234368737,2283.378854450125,0.20796364864583358,0.7935876997407142,0.2199051055978785,0.7965228857850255,-0.6294677442076939,0.7156862745098039,0.8966817496229261,0.09080452488687785,1.0053258066996933,0.5,25.3,0.0,20.0,0.4491813115910292,0.3705680754580307,0.40987469352453
0.13601602372428573,0.12846138191216683,0.004267121315596948,0.9398277620612975,3859.871602385307,0.30145368180899823,1.7430787612614707,0.2159191619674736,0.8028914814611608,-0.8424167619732323,0.801948051948052,0.9456168831168831,0.12813116883116893,0.6442062303423881,0.75,26.733333333333334,0.06666666666666667,20.0,0.619934668088859,0.13368070515992822,0.3768076866243936
0.13334636137615027,0.013166859317521267,0.09982970623986635,0.9261799258901412,492.1680213082432,0.33083473295718424,1.38009353168182,0.21474319221004487,0.8256575989673256,-0.7137796879838874,0.7435064935064936,0.9107142857142857,0.1045922077922079,0.9613119978457689,0.75,26.733333333333334,0.06666666666666667,20.0,0.5228700898476989,0.07727597267608044,0.30007303126188967
0.2163197932910531,0.23604787806837235,0.013330590646739393,0.9967503713401961,116.10653211446464,0.9704153120994139,1.621742369556357,0.21673898698288094,0.8320960309514887,-0.6811250662929007,0.8830508474576271,0.985593220338983,0.2314440677966101,1.2643257319927215,0.8,25.875,0.0,20.0,-0.3172121106019642,0.647415667549926,0.1651017784739809
0.12950071902344873,0.26876506822979157,0.0014238220376591548,0.8685176857820209,362.716630384419,0.9728496646272562,1.1682405002340683,0.21784134302966304,0.8359493927655854,-0.5690746742979537,0.8775337837837838,0.9738175675675675,0.21415135135135133,1.2533667504787445,0.8,26.0,0.0,20.0,-0.4214742890517834,0.6493649806307255,0.11394534578947102
0.3469780506610227,0.16134799180006684,0.011462818617661082,0.900986502248361,1898.0229930406551,0.2741963804187046,1.1996411563146547,0.21762636622766984,0.8042667325204554,-0.809187006203216,0.8424764890282131,0.969435736677116,0.17471222570532918,0.7690734273754061,0.6,25.5,0.08333333333333333,20.0,0.2715644272594771,-0.19254287252390534,0.03951077736778588
0.8737418602101142,0.2375058550725587,0.01948372438328492,0.8573958216718109,334.78245494111326,0.8544967767767284,1.2903622785975315,0.21727690617779316,0.830139825404156,-0.6353743104232545,0.8891625615763546,0.9909688013136289,0.24293136288998352,1.218569104373455,0.65,24.307692307692307,0.0,20.0,-0.4736512866432284,0.49409614618587366,0.010222429771322622
3.519631882361867,0.08990897871081475,0.021417475945939086,0.838631824805268,563.6564766231857,0.6187477819159359,0.2689777164679168,0.21069664601458202,0.8464532691446588,-0.888227342501963,0.77625,0.954375,0.09367500000000006,5.586888575553894,0.0,nan,nan,20.0,0.9174948451325633,-0.982565534080281,-0.03253534447385886
0.20824279520848638,0.13886812706303917,0.002811564015310004,0.914959890611054,800.6604145683556,0.9699384744995049,0.23730400450676586,0.21069664601458202,0.8464532691446588,-0.5204215134332243,0.77625,0.94125,0.1068,5.586888575553894,0.0,nan,nan,20.0,0.14620060019496986,-0.982565534080281,-0.4181824669426556
0.7070316094979617,0.18373813236323078,0.002557431710623311,0.8772252796251193,66.79762190910765,0.7807046910206215,0.26675898484302485,0.21069664601458202,0.8464532691446588,-0.5709939497316874,0.82125,0.95375,0.1393000000000001,5.586888575553894,0.0,nan,nan,20.0,0.04165136847544321,-0.982565534080281,-0.47045708280241894
0.6571237258718072,0.24108487930351227,0.024387844307453967,0.9303690917342847,3360.09479400554,0.25221633312903313,1.686477587520961,0.22144201601434496,0.821352913889935,-0.560306783176503,0.8955555555555555,0.9918518518518519,0.25020740740740743,1.005883377790451,0.55,27.636363636363637,0.09090909090909091,20.0,-0.6592923129122994,-0.35328211426457573,-0.5062872135884375
0.20437268527693922,0.31279536493219284,0.07399597851048642,0.9329099917086989,4128.5473313730945,0.9405716617715351,1.5216721562733326,0.21771402848031574,0.8477719883641707,-0.25083560732911697,0.9360374414976599,1.0,0.2988374414976599,1.6588452249765395,0.55,24.545454545454547,0.0,20.0,-1.5390070527244664,0.3081437204185552,-0.6154316661529555
0.2873721019798893,0.2926950225426158,0.1066385521275168,0.9016305946031854,244.09645164659037,0.9959338785287343,0.7002927361986303,0.21958714793986775,0.836890733483998,-0.3042554233823544,0.9527616279069767,0.9992732558139535,0.31483488372093027,3.20736446082592,0.4,25.0,0.0,20.0,-1.5368978988984763,-0.12875532803008616,-0.8328266134642812
0.4690822087835416,0.3048517892755768,0.012211731357962111,0.9816117647945363,1701.3914257063068,0.9322591680894128,0.342065717192922,0.21069664601458202,0.8464532691446588,-0.3963301403074945,0.90125,0.97625,0.24029999999999996,5.586888575553894,0.0,nan,nan,20.0,-0.9064083123899778,-0.982565534080281,-0.9444869232351294
2.899384931643501,0.026296315303783492,0.0021135501843199812,0.9333423080136722,1343.4053627994065,0.33364234302581774,0.8515588188992643,0.21647615005409027,0.8217463935495561,0.027233092185566653,0.5688405797101449,0.7853260869565217,0.28303333333333336,0.5253180466592312,0.85,24.41176470588235,0.11764705882352941,20.0,-1.9641808587565062,-0.17358261679277978,-1.068881737774643
