sweep_param,sweep_value,sigma_visible,odom_noise,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes,viable
baseline,,0.0010000000000000002,0.0010000000000000002,0.12494068678046376,0.2824338757090045,3.628161833506629,0.2746478873239437,0.5023474178403756,0.8602046948356807,0.426065256469883,1.0,25.625,0.0,8.0,False
baseline,,0.0010000000000000002,0.00193069772888325,0.1250992077771953,0.279704938164115,1.8204499917652248,0.3317972350230415,0.5691244239631337,0.7362783410138248,0.38779687136411667,1.0,26.125,0.0,8.0,False
baseline,,0.0010000000000000002,0.0037275937203149418,0.12509920933949822,0.28009561088243745,0.8760785273109805,0.37557603686635943,0.6290322580645161,0.6325917050691244,0.42344884970225394,1.0,26.125,0.0,8.0,False
baseline,,0.0010000000000000002,0.0071968567300115215,0.12473104057042164,0.27961274839743483,0.40754571787576466,0.4479638009049774,0.7058823529411765,0.4833538461538461,0.390298206359148,0.875,24.857142857142858,0.0,8.0,False
baseline,,0.0010000000000000002,0.013894954943731387,0.12446377275680007,0.27966037914879865,0.30208113585898805,0.5223214285714286,0.734375,0.3805035714285714,0.43127140775322914,0.75,23.0,0.0,8.0,False
baseline,,0.0010000000000000002,0.02682695795279727,0.124874945634535,0.28048916534723134,0.42908697543859486,0.6048034934497817,0.7379912663755459,0.2944052401746724,0.5470262244343758,0.75,23.833333333333332,0.0,8.0,False
baseline,,0.0010000000000000002,0.051794746792312114,0.12510352604302136,0.28061461390338666,0.6982501992768873,0.6319148936170212,0.7340425531914894,0.2712425531914894,0.7237531878054142,0.75,24.833333333333332,0.0,8.0,False
baseline,,0.0010000000000000002,0.10000000000000002,0.12454924646367804,0.28263180340342675,0.8887994370539665,0.6396761133603239,0.742914979757085,0.2546089068825911,0.817042101174593,0.625,24.4,0.0,8.0,False
baseline,,0.0021316631165338423,0.0010000000000000002,0.12494068645112828,0.2787790569999889,0.5322446855288426,0.33488372093023255,0.6232558139534884,0.679060465116279,0.37828677613288164,1.0,25.875,0.0,8.0,False
baseline,,0.0021316631165338423,0.00193069772888325,0.1250992082500592,0.2798221267069646,-0.6541341096197455,0.38018433179723504,0.6682027649769585,0.5888129032258065,0.3936447510495782,1.0,26.125,0.0,8.0,False
baseline,,0.0021316631165338423,0.0037275937203149418,0.12509920870262212,0.27830922776707917,-1.389979470601502,0.4197247706422018,0.7224770642201835,0.49499816513761463,0.40293942554853857,1.0,26.25,0.0,8.0,False
baseline,,0.0021316631165338423,0.0071968567300115215,0.12473103941938166,0.2796894630372671,-1.734823868908955,0.49095022624434387,0.7986425339366516,0.3476072398190045,0.39658169681206346,0.875,24.857142857142858,0.0,8.0,False
baseline,,0.0021316631165338423,0.013894954943731387,0.12446377204218216,0.27972208172195095,-1.7994158898225183,0.5669642857142857,0.8214285714285714,0.2488071428571429,0.4362771175801754,0.75,23.0,0.0,8.0,False
baseline,,0.0021316631165338423,0.02682695795279727,0.12487494646620241,0.2805344171990883,-1.6534732618238717,0.648471615720524,0.8231441048034934,0.16558427947598253,0.5507286004722118,0.75,23.833333333333332,0.0,8.0,False
baseline,,0.0021316631165338423,0.051794746792312114,0.12510352622896453,0.2806517992325116,-1.4173964804871981,0.6723404255319149,0.8212765957446808,0.1435829787234043,0.726648285984993,0.75,24.833333333333332,0.0,8.0,True
baseline,,0.0021316631165338423,0.10000000000000002,0.1245492476244303,0.28266053379753464,-1.167658903908355,0.6781376518218624,0.8319838056680162,0.1270785425101214,0.8190023358911276,0.625,24.4,0.0,8.0,False
baseline,,0.004543987642390773,0.0010000000000000002,0.12451879207639882,0.28012926485755907,-1.2262304573705958,0.44772727272727275,0.7363636363636363,0.4531090909090909,0.32954789139330387,1.0,26.5,0.0,8.0,False
baseline,,0.004543987642390773,0.00193069772888325,0.12451879101468769,0.2803343033148086,-1.8807660507770882,0.47954545454545455,0.7772727272727272,0.3803818181818182,0.34914102405309677,1.0,26.5,0.0,8.0,False
baseline,,0.004543987642390773,0.0037275937203149418,0.12451879064701225,0.2788109853857891,-2.3476090708803667,0.5248868778280543,0.832579185520362,0.27973393665158364,0.3393749501556158,0.875,24.857142857142858,0.0,8.0,False
baseline,,0.004543987642390773,0.0071968567300115215,0.1239052614255564,0.2802432985793674,-2.5849931662381933,0.5915178571428571,0.8973214285714286,0.1483607142857143,0.33008603285998106,0.75,23.0,0.0,8.0,True
baseline,,0.004543987642390773,0.013894954943731387,0.12390526258914733,0.28025722377731527,-2.601551330445004,0.6526548672566371,0.911504424778761,0.07304070796460183,0.4238934125751257,0.75,23.333333333333332,0.0,8.0,True
baseline,,0.004543987642390773,0.02682695795279727,0.12493066179642472,0.28103811611587465,-2.4419734309868373,0.7262931034482759,0.9116379310344828,0.08645517241379319,0.5075192227959633,0.75,24.333333333333332,0.0,8.0,True
baseline,,0.004543987642390773,0.051794746792312114,0.12455805896192476,0.28116325027115696,-2.22763814732276,0.7510548523206751,0.9113924050632911,0.11146244725738408,0.7126596234738827,0.75,25.166666666666668,0.0,8.0,True
baseline,,0.004543987642390773,0.10000000000000002,0.12403119996964865,0.28316184588988375,-1.9561589803012842,0.7570281124497992,0.9216867469879518,0.10714136546184738,0.7895724438130856,0.5,21.25,0.0,8.0,False
baseline,,0.009686250859269979,0.0010000000000000002,0.12425588310406754,0.2793798298812805,-2.1714447047721466,0.5855855855855856,0.8513513513513513,0.20026306306306307,0.3210085518658161,0.875,25.0,0.0,8.0,False
baseline,,0.009686250859269979,0.00193069772888325,0.12425588354694345,0.2795589465045411,-2.451271409103492,0.6126126126126126,0.8873873873873874,0.1372,0.34558197925798595,0.875,25.0,0.0,8.0,True
baseline,,0.009686250859269979,0.0037275937203149418,0.12390526178553485,0.2807222958898986,-2.6763733250645183,0.6473214285714286,0.9375,0.052378571428571385,0.33791404869407415,0.75,23.0,0.0,8.0,True
baseline,,0.009686250859269979,0.0071968567300115215,0.12390526188443825,0.279758657428288,-2.7894711280161997,0.6955555555555556,0.9688888888888889,0.027244444444444516,0.38836855068802834,0.75,23.166666666666668,0.0,8.0,True
