sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
env_odom_noise,0.075,0.95,1000.0,0.5,0.1,0.075,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12448462157048601,0.862297694972705,-1.2597330475080808,0.6961602671118531,0.9015025041736227,0.06645776293823047,0.49863868542015555,0.7,24.642857142857142,0.0,20.0
env_odom_noise,0.11249999999999999,0.95,1000.0,0.5,0.1,0.11249999999999999,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00788154924594252,True,0.1240605950602802,0.9921384846287115,-1.039012139188147,0.6175496688741722,0.8874172185430463,0.13223311258278148,0.5689774848520756,0.7,25.0,0.0,20.0
env_odom_noise,0.15,0.95,1000.0,0.5,0.1,0.15,markov,0.5,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
occlusion_mode,markov,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00020706272838739032,True,0.1243955626829379,0.7808567644396971,-1.802752668042143,0.6105442176870748,0.8792517006802721,0.14740408163265306,0.4259654346853495,0.8,25.75,0.0,20.0
occlusion_mode,bernoulli,0.95,1000.0,0.5,0.1,0.05,bernoulli,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.11772532565290816,0.621158359898986,-2.673409508054151,0.6635111876075731,0.9259896729776248,0.04769913941480208,0.39876023307442665,0.75,24.4,0.0,20.0
p_visible,0.2,0.95,1000.0,0.5,0.1,0.05,bernoulli,0.2,6.0,60.0,10.0,0.5,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
p_visible,0.35000000000000003,0.95,1000.0,0.5,0.1,0.05,bernoulli,0.35000000000000003,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.11294328034828735,0.9696512014391653,-1.704448075689404,0.6616161616161617,0.898989898989899,0.07659393939393933,0.4488766208291054,0.7,24.285714285714285,0.0,20.0
p_visible,0.5,0.95,1000.0,0.5,0.1,0.05,bernoulli,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.11772532565290816,0.621158359898986,-2.673409508054151,0.6635111876075731,0.9259896729776248,0.04769913941480208,0.39876023307442665,0.75,24.4,0.0,20.0
p_visible,0.6500000000000001,0.95,1000.0,0.5,0.1,0.05,bernoulli,0.6500000000000001,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.11827645037764754,0.5765965601726335,-3.0364242534455403,0.6766256590509666,0.9393673110720563,0.02120702987697709,0.4632162407040596,0.8,24.5625,0.0,20.0
p_visible,0.8,0.95,1000.0,0.5,0.1,0.05,bernoulli,0.8,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12208530707061882,0.5559367341360433,-3.3192864725582454,0.6887125220458554,0.9444444444444444,0.016068077601411046,0.4525588762015104,0.85,25.294117647058822,0.0,20.0
mean_streak_len,3.0,0.95,1000.0,0.5,0.1,0.05,markov,0.5,3.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12396240798994672,0.5682800428884826,-2.630311310418556,0.6243523316062176,0.9024179620034543,0.11042970639032812,0.4182445526123047,0.85,26.0,0.0,20.0
mean_streak_len,5.25,0.95,1000.0,0.5,0.1,0.05,markov,0.5,5.25,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.11425756588035962,0.7560034926617486,-2.0095934608530746,0.6339590443686007,0.8950511945392492,0.10818976109215006,0.41588405929505823,0.8,25.625,0.0,20.0
