sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
baseline,,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.01631975090784437,0.00010000000000000009,True,0.12229401285161012,0.7465561236922953,-2.233552806761813,0.7223264540337712,0.9371482176360225,0.05697823639774868,0.37742550373077394,0.9,24.166666666666668,0.0,20.0
env_odom_noise,0.0,0.95,1000.0,0.5,0.1,0.0,markov,0.5,6.0,60.0,10.0,0.5,0.00788154924594252,0.00010000000000000009,True,0.12254476967012862,0.6834030024889528,-2.8761670718947956,0.6560693641618497,0.9518304431599229,0.029300192678227366,0.4006439045071602,1.0,24.95,0.0,20.0
env_odom_noise,0.0375,0.95,1000.0,0.5,0.1,0.0375,markov,0.5,6.0,60.0,10.0,0.5,0.00788154924594252,0.00020706272838739032,True,0.12220281525989152,0.7309626030261761,-2.349182973452126,0.5940499040307101,0.8953934740882917,0.14775662188099814,0.38820676803588866,1.0,25.05,0.0,20.0
env_odom_noise,0.075,0.95,1000.0,0.5,0.1,0.075,markov,0.5,6.0,60.0,10.0,0.5,0.01631975090784437,0.00010000000000000009,True,0.12242765783040789,0.8192741352295362,-1.4831871438418176,0.6853932584269663,0.8876404494382022,0.06955280898876415,0.40534109584987166,0.9,24.22222222222222,0.0,20.0
env_odom_noise,0.11249999999999999,0.95,1000.0,0.5,0.1,0.11249999999999999,markov,0.5,6.0,60.0,10.0,0.5,0.03379212149580846,0.00010000000000000009,True,0.1233951124854156,0.917998407101282,-0.9088816663504019,0.7477313974591652,0.8911070780399274,0.12842431941923782,0.48676004111766813,0.9,25.166666666666668,0.05555555555555555,20.0
env_odom_noise,0.15,0.95,1000.0,0.5,0.1,0.15,markov,0.5,6.0,60.0,10.0,0.5,0.03379212149580846,0.00010000000000000009,True,0.12352236120426643,1.025898151947616,0.2613266600354548,0.7154398563734291,0.8590664272890485,0.12817342908438067,0.4995263502001762,0.9,25.5,0.05555555555555555,20.0
