sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
baseline,,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.013851887314021634,0.00010000000000000009,True,0.12385797599044279,0.6360558954579826,-1.8238531759319339,0.6565074135090609,0.9007871133077063,0.07990547318323271,0.4378697291761637,0.905,24.983425414364643,0.0,200.0
env_odom_noise,0.0,0.95,1000.0,0.5,0.1,0.0,markov,0.5,6.0,60.0,10.0,0.5,0.008847617074509657,0.00010000000000000009,True,0.12392057137053039,0.509747039500626,-3.2585065851586528,0.6705936920222635,0.9498144712430426,0.016791836734693866,0.41003096394240857,0.92,24.815217391304348,0.0,200.0
env_odom_noise,0.013636363636363636,0.95,1000.0,0.5,0.1,0.013636363636363636,markov,0.5,6.0,60.0,10.0,0.5,0.008847617074509657,0.00010000000000000009,True,0.12391013275083397,0.5234978395011041,-3.126131310544511,0.6513072501390692,0.9376970146486185,0.04819573521231224,0.4077378894761205,0.92,24.831521739130434,0.0,200.0
env_odom_noise,0.02727272727272727,0.95,1000.0,0.5,0.1,0.02727272727272727,markov,0.5,6.0,60.0,10.0,0.5,0.008847617074509657,0.00010000000000000009,True,0.12390388632948207,0.5606722007044316,-2.6665269021979787,0.6137247638451565,0.9019262826449342,0.12154895350990924,0.40509711084887384,0.915,24.78688524590164,0.0,200.0
env_odom_noise,0.04090909090909091,0.95,1000.0,0.5,0.1,0.04090909090909091,markov,0.5,6.0,60.0,10.0,0.5,0.013851887314021634,0.00010000000000000009,True,0.12388028041844913,0.6030065760584651,-2.294745431308548,0.678937728937729,0.9215201465201465,0.036742124542124555,0.4328020385280251,0.905,24.96685082872928,0.0,200.0
env_odom_noise,0.05454545454545454,0.95,1000.0,0.5,0.1,0.05454545454545454,markov,0.5,6.0,60.0,10.0,0.5,0.013851887314021634,0.00010000000000000009,True,0.12385144715375734,0.6530287045719881,-1.5537806566501273,0.6444383461397731,0.8905964141968533,0.10216523966337354,0.4386839123815298,0.905,25.0,0.0,200.0
env_odom_noise,0.06818181818181818,0.95,1000.0,0.5,0.1,0.06818181818181818,markov,0.5,6.0,60.0,10.0,0.5,0.021686605618721055,0.00010000000000000009,True,0.12403626114157498,0.7008406886577369,-1.3105453938321043,0.7087614926987561,0.9045429962141698,0.07601849648458636,0.4649706892576069,0.85,24.570588235294117,0.0,200.0
env_odom_noise,0.08181818181818182,0.95,1000.0,0.5,0.1,0.08181818181818182,markov,0.5,6.0,60.0,10.0,0.5,0.021686605618721055,0.00010000000000000009,True,0.12413182485263617,0.7550253447894519,-0.5412149682751974,0.6874775098956459,0.881162288593019,0.07811522130262694,0.4721484554372728,0.85,24.63529411764706,0.0058823529411764705,200.0
env_odom_noise,0.09545454545454544,0.95,1000.0,0.5,0.1,0.09545454545454544,markov,0.5,6.0,60.0,10.0,0.5,0.021686605618721055,0.00010000000000000009,True,0.12409393802287778,0.8100287976897482,0.3741912324892442,0.6687028386633129,0.859504132231405,0.10899302910528208,0.48327375440858306,0.84,24.511904761904763,0.011904761904761904,200.0
env_odom_noise,0.10909090909090909,0.95,1000.0,0.5,0.1,0.10909090909090909,markov,0.5,6.0,60.0,10.0,0.5,0.021686605618721055,0.00010000000000000009,True,0.124207809552523,0.8666791881530581,1.4353121175500163,0.6509247620757767,0.8403663135212786,0.14590892440294478,0.5010072635859251,0.84,24.529761904761905,0.017857142857142856,200.0
env_odom_noise,0.12272727272727273,0.95,1000.0,0.5,0.1,0.12272727272727273,markov,0.5,6.0,60.0,10.0,0.5,0.03395269197619529,0.00010000000000000009,True,0.1241181394785654,0.915841062860596,0.9270735874720948,0.7119613016710642,0.8600703605980651,0.12369094107299916,0.5419751477614045,0.815,24.79754601226994,0.024539877300613498,200.0
env_odom_noise,0.13636363636363635,0.95,1000.0,0.5,0.1,0.13636363636363635,markov,0.5,6.0,60.0,10.0,0.5,0.03395269197619529,0.00010000000000000009,True,0.12409316248464974,0.971553655997181,1.7957435341692722,0.6961248465719797,0.845519901806067,0.1224049447659128,0.5525217447802424,0.81,24.820987654320987,0.024691358024691357,200.0
env_odom_noise,0.15,0.95,1000.0,0.5,0.1,0.15,markov,0.5,6.0,60.0,10.0,0.5,0.03395269197619529,0.00010000000000000009,True,0.12415943055353672,1.0272279827526223,2.7434743779584143,0.6855247075257552,0.8294918805657412,0.12783282696001408,0.566102546211332,0.805,24.88198757763975,0.024844720496894408,200.0
