sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
baseline,,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.005848035476425733,0.004641588833612781,True,0.12229588699265495,0.2844256214272778,-2.757993365852081,0.5833333333333334,0.9087301587301587,0.1451365079365079,0.3022355750203133,0.8,20.5,0.0,5.0
decay_factor,0.8,0.8,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.005848035476425733,0.004641588833612781,True,0.12229588699265495,0.2844256214272778,-2.757993365852081,0.5833333333333334,0.9087301587301587,0.1451365079365079,0.3022355750203133,0.8,20.5,0.0,5.0
decay_factor,0.999,0.999,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.005848035476425733,0.004641588833612781,True,0.12229588699265495,0.2844256214272778,-2.757993365852081,0.5833333333333334,0.9087301587301587,0.1451365079365079,0.3022355750203133,0.8,20.5,0.0,5.0
success_radius,0.2,0.95,1000.0,0.2,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.005848035476425733,0.004641588833612781,True,0.12229588699265495,0.28119093455560634,-2.751166959675143,0.5877862595419847,0.9122137404580153,0.1372,0.2763755708932877,0.8,21.75,0.0,5.0
success_radius,1.0,0.95,1000.0,1.0,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.03419951893353394,0.0010000000000000002,True,0.122605749517835,0.2917462414504114,-2.5048774284264126,0.7796610169491526,0.9576271186440678,0.10008813559322038,0.8364017844200134,0.8,18.5,0.0,5.0
