sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
baseline,,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.11999409052969098,0.623685522230746,-2.2479679206540863,0.6511406844106464,0.8963878326996197,0.08967148288973381,0.4054263889789581,1.0,25.3,0.0,20.0
env_odom_noise,0.0,0.95,1000.0,0.5,0.1,0.0,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.1199756515456777,0.5414833996412618,-3.0772196013833613,0.7561669829222012,0.9781783681214421,0.0971453510436433,0.37923715598881247,1.0,25.35,0.0,20.0
env_odom_noise,0.02142857142857143,0.95,1000.0,0.5,0.1,0.02142857142857143,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.11997565140773019,0.5654636717946467,-2.9128934672262643,0.7043726235741445,0.9591254752851711,0.026298098859315666,0.3919063933193684,1.0,25.3,0.0,20.0
env_odom_noise,0.04285714285714286,0.95,1000.0,0.5,0.1,0.04285714285714286,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.11999409157590145,0.6074368087761308,-2.4587568981395393,0.655893536121673,0.9096958174904943,0.07161064638783265,0.4022692497819662,1.0,25.3,0.0,20.0
env_odom_noise,0.06428571428571428,0.95,1000.0,0.5,0.1,0.06428571428571428,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.11999409058443535,0.6585449268905502,-1.7343863914232707,0.6321292775665399,0.8640684410646388,0.14100228136882131,0.4123154878616333,1.0,25.3,0.0,20.0
env_odom_noise,0.08571428571428572,0.95,1000.0,0.5,0.1,0.08571428571428572,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12105296491629802,0.7003540113939445,-1.6792576117898779,0.7537037037037037,0.9138888888888889,0.11161481481481483,0.44246730413287877,0.95,25.31578947368421,0.0,20.0
env_odom_noise,0.10714285714285715,0.95,1000.0,0.5,0.1,0.10714285714285715,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12105296455857666,0.7571030114100695,-1.070144052655783,0.7208872458410351,0.8872458410351202,0.10544140480591502,0.46451871991157534,0.95,25.36842105263158,0.0,20.0
env_odom_noise,0.12857142857142856,0.95,1000.0,0.5,0.1,0.12857142857142856,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12119399274910381,0.8160311712653484,-0.3504503349554565,0.6970534069981584,0.8701657458563536,0.09868766114180483,0.479970333725214,0.95,25.473684210526315,0.0,20.0
env_odom_noise,0.15,0.95,1000.0,0.5,0.1,0.15,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12119399312994132,0.8743677389202772,0.5079567107479439,0.6838235294117647,0.8501838235294118,0.10543970588235296,0.5070308417081832,0.95,25.526315789473685,0.0,20.0
