sweep_param,sweep_value,decay_factor,large_uncertainty,success_radius,env_obs_noise,env_odom_noise,occlusion_mode,p_visible,mean_streak_len,bearing0_deg,range0,dt,min_sigma_visible,min_odom_noise,found_viable,mean_err_visible,mean_err_occluded,calibration_nll,coverage_1sigma,coverage_2sigma,coverage_deviation,mean_final_dist,advance_rate,mean_steps_to_advance,false_advance_rate,n_episodes
baseline,,0.95,1000.0,0.5,0.1,0.05,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12513630886324953,0.7246647030911605,-1.9170244635306137,0.597457627118644,0.8710653753026635,0.16867699757869248,0.42498920286695163,0.8666666666666667,24.615384615384617,0.0,30.0
env_odom_noise,0.0,0.95,1000.0,0.5,0.1,0.0,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.12513630965385936,0.636878784509496,-3.040250211990743,0.7203389830508474,0.9491525423728814,0.04298644067796609,0.4029693951209386,0.8666666666666667,24.615384615384617,0.0,30.0
env_odom_noise,0.0375,0.95,1000.0,0.5,0.1,0.0375,markov,0.5,6.0,60.0,10.0,0.5,0.010414058246057912,0.00010000000000000009,True,0.1251363100628619,0.6855233676082158,-2.503323780173174,0.6404358353510896,0.9098062953995157,0.08695786924939464,0.40966949264208474,0.8666666666666667,24.615384615384617,0.0,30.0
env_odom_noise,0.075,0.95,1000.0,0.5,0.1,0.075,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12532963486110343,0.8054348455403355,-1.4263050611502033,0.6886120996441281,0.895017793594306,0.0653943060498221,0.4877406246960163,0.7666666666666667,23.47826086956522,0.0,30.0
env_odom_noise,0.11249999999999999,0.95,1000.0,0.5,0.1,0.11249999999999999,markov,0.5,6.0,60.0,10.0,0.5,0.02258863577297737,0.00010000000000000009,True,0.12517395743782564,0.9426436319967262,0.6021700071259886,0.6283863368669023,0.8162544169611308,0.19255924617196696,0.5396000380317371,0.7333333333333333,23.045454545454547,0.0,30.0
env_odom_noise,0.15,0.95,1000.0,0.5,0.1,0.15,markov,0.5,6.0,60.0,10.0,0.5,0.04899592973540154,0.00010000000000000009,True,0.12500653073596996,1.077848096643367,0.6842721430501129,0.6933638443935927,0.8375286041189931,0.1276352402745996,0.6829545949896176,0.7,23.476190476190474,0.047619047619047616,30.0
